Loss$,Group,CnaeSession,Uf,FundationDate,Equity,RefYearMonth,,,,
0,G1,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",MT,2016,7320000,201804,,,,
0,G5,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",MT,1993,7320000,201708,,,,
0,G1,ATIVIDADES IMOBILIÁRIAS,DF,1990,2320000,201806,,,,
"1,000,00",G1,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",RR,1998,5320000,201806,,,,
"500,00",G4,SERVIÇOS DOMÉSTICOS,TO,2016,7320000,201801,,,,
"2,000,00",G2,SERVIÇOS DOMÉSTICOS,MS,1987,5320000,201806,,,,
0,G4,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",AL,1998,500000,201805,,,,
"20,000,00",G1,ALOJAMENTO E ALIMENTAÇÃO,SE,1998,5320000,201803,,,,
0,G3,SERVIÇOS DOMÉSTICOS,SE,1998,5320000,201709,,,,
"1,000,00",G2,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",PR,2001,15320000,201712,,,,
0,G4,OUTRAS ATIVIDADES DE SERVIÇOS,MT,1998,5320000,201802,,,,
0,G5,INDÚSTRIAS DE TRANSFORMAÇÃO,PB,1998,1500000,201712,,,,
0,G5,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,CE,1996,5320000,201801,,,,
0,G4,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",TO,1990,2320000,201801,,,,
0,G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,RS,1996,1000000,201708,,,,
0,G2,ELETRICIDADE E GÁS,GO,1996,2320000,201709,,,,
"20,000,00",G1,"TRANSPORTE, ARMAZENAGEM E CORREIO",PE,1998,7320000,201711,,,,
0,G3,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",MS,1996,1500000,201706,,,,
0,G3,INDÚSTRIAS DE TRANSFORMAÇÃO,SE,1998,7320000,201712,,,,
"10,000,00",G5,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,MT,1990,1000000,201708,,,,
0,G1,INFORMAÇÃO E COMUNICAÇÃO,AC,1998,15320000,201804,,,,
"500,00",G1,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",RJ,1998,1000000,201803,,,,
"1,000,00",G2,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",CE,1996,1000000,201709,,,,
"500,00",G1,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",GO,1998,1500000,201707,,,,
"10,000,00",G3,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",RO,1997,15320000,201806,,,,
0,G3,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",AP,1998,5320000,201707,,,,
0,G5,"TRANSPORTE, ARMAZENAGEM E CORREIO",MS,1998,1500000,201708,,,,
"2,000,00",G1,INDÚSTRIAS EXTRATIVAS,RR,2015,5320000,201707,,,,
0,G4,CONSTRUÇÃO,CE,2010,1500000,201709,,,,
0,G4,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",TO,1998,7320000,201708,,,,
"500,00",G1,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,PA,1997,15320000,201802,,,,
"1,000,00",G2,SAÚDE HUMANA E SERVIÇOS SOCIAIS,GO,1998,7320000,201709,,,,
"500,00",G1,ELETRICIDADE E GÁS,AL,1996,500000,201712,,,,
"20,000,00",G2,"TRANSPORTE, ARMAZENAGEM E CORREIO",CE,1998,5320000,201806,,,,
"500,00",G3,ATIVIDADES IMOBILIÁRIAS,MT,2010,2320000,201803,,,,
0,G1,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",PE,1996,5320000,201802,,,,
0,G3,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,AM,1996,2320000,201708,,,,
0,G4,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",PE,1998,2320000,201706,,,,
"2,000,00",G3,INDÚSTRIAS EXTRATIVAS,SC,1997,1500000,201712,,,,
0,G4,INDÚSTRIAS EXTRATIVAS,SC,2010,5320000,201801,,,,
